,,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,
,No,ABB,Countries,EU (y/n),Interests_IFS, Coupon_Bloomberg,Interests applied,CURRIC (MN),Notes in Circ (MN),MBase (MN),M0 (MN),M1 (MN),"Seigniorage (LCU,MN)",Exchange ,"Seigniorage (USD,MN)",Currency base,"2013 GDP (USD,MN)",GDP per Capita,Percentage of GDP,ln(GDP per Capita),lg(Seigniorage),lg(GDP),Population,Seinarage per capita,lg(Seinarage per capita),
,1.00,USA,United States,n,0.02,0.02,0.02,1195201.00,na,3713665.00,na,"2,711,000",28097.18,1.00,28097.18,1195201.00,16800000.00,53041.98,0.00,10.88,24.06,30.45,316730249.41,88.71,1.95,
,2.00,CHN,China,n,na,0.04,0.04,na,na,na,5857444.40,"33,729,105",241912.45,6.77,35731.59,865171.59,9240270.00,6807.43,0.00,8.83,24.30,29.85,1357379933.60,178.22,2.25,
,3.00,JPN,Japan,n,0.01,0.01,0.01,94769600.00,na,201847200.00,na,"592,037,000",663782.07,87.78,7561.89,1079627.88,4901530.00,38633.71,0.00,10.56,22.75,29.22,126871849.64,5231.91,3.72,
,4.00,DEU,Germany,y,0.02,0.01,0.02,na,na,na,na,na,7410.37,0.75,9839.05,626690.94,3634823.00,46268.64,0.00,10.74,23.01,28.92,78559104.31,94.33,1.97,
,5.00,FRA,France,y,0.02,0.02,0.02,na,na,na,na,na,5838.27,0.75,7751.71,351745.50,2734949.00,42503.30,0.00,10.66,22.77,28.64,64346739.41,90.73,1.96,
,6.00,GBR,United Kingdom,n,0.02,0.03,0.02,na,60198.00,na,na,na,1475.50,0.65,2279.90,93015.95,2521381.00,41787.47,0.00,10.64,21.55,28.56,60338209.57,24.45,1.39,
,7.00,BRA,Brazil,n,na,0.10,0.10,204052.00,na,574550.39,na,"344,508",20405.20,1.76,11598.96,115989.60,2245673.00,11208.08,0.01,9.32,23.17,28.44,200361922.11,101.84,2.01,
,8.00,RUS,Russian Federation,n,na,0.07,0.07,8307500.00,na,10503900.00,6985600.00,"15,536,600",581525.00,30.37,19149.32,273561.75,2096777.00,14611.70,0.01,9.59,23.68,28.37,143499858.91,4052.44,3.61,
,9.00,ITA,Italy,y,0.04,0.03,0.04,na,na,na,na,na,5068.96,0.75,6730.26,155913.41,2071307.00,35925.88,0.00,10.49,22.63,28.36,57655014.86,87.92,1.94,
,10.00,IND,India,n,na,0.08,0.08,na,13002000.00,na,na,"19,896,746",1092168.00,45.73,23885.15,284347.05,1876797.00,1498.87,0.01,7.31,23.90,28.26,1252139463.15,872.24,2.94,
,11.00,CAN,Canada,n,0.03,0.03,0.03,66615.94,na,66802.67,na,na,1810.84,1.03,1757.82,64665.45,1826769.00,51958.38,0.00,10.86,21.29,28.23,35158312.41,51.51,1.71,
,12.00,AUS,Australia,n,0.04,0.03,0.04,63018.00,na,63200.00,na,"297,967",2329.57,1.09,2136.90,57806.22,1560597.00,67458.36,0.00,11.12,21.48,28.08,23134228.38,100.70,2.00,
,13.00,ESP,Spain,y,0.05,0.03,0.05,na,na,na,na,na,3640.23,0.75,4833.28,105954.31,1358263.00,29863.18,0.00,10.30,22.30,27.94,45482870.51,80.04,1.90,
